x0,x1,x2,x3,y
-77.0,157.0,-226.0,114.0,0
-253.0,-213.0,-321.0,147.0,0
-21.0,165.0,-86.0,-390.0,0
182.0,-348.0,-233.0,137.0,0
-421.0,177.0,-217.0,-384.0,0
-365.0,-7.0,-171.0,-22.0,0
-172.0,-162.0,34.0,-73.0,0
-63.0,-424.0,-160.0,-497.0,0
-57.0,-499.0,-23.0,-388.0,0
-499.0,114.0,-18.0,170.0,0
-53.0,-477.0,108.0,-380.0,0
-214.0,-380.0,22.0,131.0,0
-5.0,-139.0,-423.0,-413.0,0
70.0,-167.0,-193.0,106.0,0
-264.0,199.0,22.0,-163.0,0
-491.0,50.0,-30.0,-75.0,0
-24.0,-401.0,-441.0,-210.0,0
-8.0,-243.0,-155.0,-250.0,0
148.0,89.0,-64.0,-46.0,0
-329.0,35.0,129.0,-137.0,0
20.0,-404.0,-83.0,113.0,0
-304.0,161.0,-421.0,-424.0,0
-167.0,-75.0,-482.0,-169.0,0
-201.0,-458.0,-391.0,-404.0,0
45.0,14.0,-345.0,170.0,0
-491.0,-161.0,-283.0,-168.0,0
-130.0,-68.0,-87.0,-378.0,0
-401.0,-316.0,-130.0,198.0,0
154.0,-86.0,-251.0,-347.0,0
-180.0,36.0,-192.0,-314.0,0
-398.0,-52.0,-69.0,-334.0,0
167.0,-478.0,-375.0,51.0,0
-338.0,-82.0,-235.0,-295.0,0
-232.0,8.0,27.0,-67.0,0
-443.0,92.0,94.0,-497.0,0
-311.0,30.0,137.0,-61.0,0
-45.0,-107.0,-6.0,-322.0,0
36.0,-200.0,-171.0,136.0,0
-370.0,-426.0,51.0,151.0,0
17.0,-395.0,-81.0,-470.0,0
-259.0,-196.0,176.0,55.0,0
-228.0,186.0,-36.0,-191.0,0
-427.0,-493.0,-116.0,-188.0,0
69.0,-212.0,-7.0,9.0,0
106.0,-43.0,161.0,-359.0,0
-73.0,-311.0,2.0,-194.0,0
141.0,-304.0,200.0,-426.0,0
-25.0,-200.0,-131.0,93.0,0
-419.0,-316.0,-249.0,15.0,0
-463.0,-206.0,-235.0,-1.0,0
-408.0,-110.0,-113.0,110.0,0
-182.0,-151.0,-459.0,-345.0,0
0.0,53.0,170.0,161.0,0
-26.0,-155.0,-390.0,94.0,0
-454.0,-487.0,45.0,-391.0,0
-47.0,102.0,-204.0,-79.0,0
-297.0,-494.0,-430.0,-81.0,0
-491.0,-462.0,-289.0,-374.0,0
-371.0,133.0,-474.0,-14.0,0
-130.0,-155.0,-167.0,116.0,0
27.0,-109.0,5.0,146.0,0
91.0,-98.0,-453.0,-496.0,0
162.0,-462.0,-360.0,-364.0,0
146.0,5.0,-496.0,-159.0,0
-122.0,192.0,120.0,96.0,0
-190.0,39.0,80.0,148.0,0
-449.0,-212.0,147.0,-342.0,0
-255.0,-463.0,-101.0,93.0,0
20.0,-500.0,-317.0,179.0,0
-12.0,-450.0,61.0,-198.0,0
-299.0,-324.0,-417.0,39.0,0
-471.0,122.0,199.0,55.0,0
-175.0,-334.0,-180.0,-154.0,0
-138.0,22.0,-231.0,-434.0,0
-431.0,-189.0,-338.0,-14.0,0
-394.0,-176.0,-380.0,-145.0,0
-125.0,-174.0,-468.0,-53.0,0
-179.0,-289.0,-416.0,-93.0,0
-306.0,-331.0,118.0,-227.0,0
-70.0,-316.0,-483.0,-202.0,0
174.0,-102.0,-54.0,-414.0,0
21.0,188.0,-371.0,-65.0,0
-123.0,-333.0,-365.0,-146.0,0
115.0,-391.0,-455.0,-257.0,0
-342.0,-307.0,-64.0,-306.0,0
-353.0,-493.0,-70.0,-227.0,0
42.0,-378.0,-226.0,-382.0,0
-50.0,-307.0,64.0,-398.0,0
-375.0,-111.0,-398.0,-311.0,0
-365.0,40.0,-280.0,-230.0,0
-110.0,-304.0,-34.0,25.0,0
-398.0,-13.0,158.0,-347.0,0
-88.0,-39.0,-355.0,58.0,0
-272.0,-32.0,57.0,-349.0,0
-168.0,-339.0,-359.0,-367.0,0
-213.0,-382.0,-330.0,179.0,0
-242.0,-465.0,-443.0,-69.0,0
-6.0,-138.0,-178.0,114.0,0
-52.0,-5.0,55.0,-134.0,0
-330.0,115.0,90.0,12.0,0
-435.0,-397.0,186.0,120.0,0
-396.0,-238.0,-285.0,89.0,0
135.0,-333.0,105.0,43.0,0
-48.0,-20.0,-378.0,107.0,0
-198.0,123.0,-31.0,97.0,0
91.0,-8.0,-176.0,-336.0,0
-389.0,-386.0,-385.0,-123.0,0
-449.0,-110.0,157.0,-245.0,0
-298.0,-425.0,-1.0,-477.0,0
41.0,71.0,-370.0,-271.0,0
127.0,-482.0,-422.0,-69.0,0
-159.0,18.0,-485.0,-455.0,0
26.0,3.0,-399.0,-404.0,0
-320.0,127.0,-61.0,112.0,0
-400.0,-255.0,-488.0,128.0,0
12.0,-444.0,-145.0,-76.0,0
-339.0,-73.0,16.0,-91.0,0
198.0,-139.0,-448.0,-153.0,0
81.0,-159.0,-178.0,-74.0,0
-6.0,-221.0,-162.0,-153.0,0
-122.0,-50.0,61.0,-366.0,0
-174.0,-348.0,193.0,-438.0,0
-18.0,-338.0,-410.0,-163.0,0
-320.0,-393.0,-31.0,3.0,0
-291.0,-365.0,-131.0,,0
15.0,-388.0,-143.0,85.0,0
-156.0,110.0,199.0,-198.0,0
-445.0,-254.0,-166.0,-285.0,0
41.0,-146.0,167.0,-371.0,0
-275.0,-216.0,117.0,-119.0,0
-305.0,-341.0,38.0,-142.0,0
-170.0,-150.0,-498.0,-253.0,0
-456.0,-279.0,-150.0,-111.0,0
129.0,-331.0,-220.0,-439.0,0
-48.0,-136.0,-317.0,-61.0,0
-159.0,-271.0,-147.0,124.0,0
-287.0,30.0,-393.0,-148.0,0
145.0,24.0,-112.0,-14.0,0
-189.0,-329.0,-246.0,165.0,0
-258.0,-456.0,-27.0,71.0,0
-218.0,90.0,-318.0,110.0,0
-405.0,-49.0,-121.0,49.0,0
12.0,-118.0,-212.0,-347.0,0
157.0,93.0,-366.0,-337.0,0
9.0,-326.0,-90.0,-125.0,0
-92.0,-275.0,-174.0,-396.0,0
-482.0,89.0,-29.0,-433.0,0
2.0,-70.0,-74.0,164.0,0
-321.0,-281.0,-161.0,-177.0,0
-134.0,-454.0,-209.0,67.0,0
-77.0,-452.0,-311.0,-9.0,0
89.0,-31.0,-403.0,119.0,0
65.0,-229.0,-409.0,-103.0,0
-157.0,-77.0,-180.0,-293.0,0
-348.0,-424.0,5.0,-388.0,0
-80.0,57.0,-189.0,171.0,0
-478.0,171.0,125.0,98.0,0
49.0,-42.0,94.0,-332.0,0
-484.0,-55.0,113.0,-438.0,0
-95.0,42.0,-353.0,-426.0,0
-459.0,-466.0,133.0,-87.0,0
-377.0,-136.0,-454.0,-413.0,0
-266.0,-476.0,-55.0,40.0,0
5.0,-9.0,-371.0,-269.0,0
-151.0,44.0,-250.0,-213.0,0
118.0,94.0,-307.0,-250.0,0
9.0,-45.0,24.0,143.0,0
133.0,-155.0,-56.0,-405.0,0
-198.0,-89.0,32.0,-161.0,0
-289.0,69.0,-56.0,9.0,0
-142.0,27.0,192.0,113.0,0
-128.0,162.0,107.0,-54.0,0
-280.0,-7.0,-334.0,-61.0,0
-401.0,60.0,90.0,127.0,0
-291.0,166.0,150.0,-325.0,0
-110.0,65.0,-140.0,126.0,0
194.0,-390.0,85.0,-195.0,0
-388.0,129.0,-363.0,-454.0,0
49.0,-24.0,-395.0,-64.0,0
-431.0,-171.0,-333.0,103.0,0
-443.0,-479.0,62.0,-326.0,0
65.0,42.0,-447.0,-178.0,0
-489.0,-470.0,-491.0,-161.0,0
-63.0,-364.0,-376.0,-325.0,0
-120.0,-404.0,-187.0,-97.0,0
-219.0,-57.0,192.0,-49.0,0
88.0,150.0,180.0,-66.0,0
-354.0,-267.0,119.0,32.0,0
125.0,-82.0,22.0,-233.0,0
-46.0,-15.0,-264.0,-115.0,0
-94.0,-474.0,-30.0,-120.0,0
77.0,107.0,-360.0,187.0,0
-468.0,126.0,-117.0,-244.0,0
